StartLocationLat,StartLocationLon,EndLocationLat,EndLocationLon,StartTime,EndTime,Distance,ActivityType
487433615,22895643,487412767,22827537,1617273023425,1617273350938,592,CYCLING
487411136,22832834,487562540,22736139,1617273963281,1617274382763,1826,CYCLING
487562101,22736888,487404792,22369536,1617280682251,1617281415935,3760,CYCLING
487405788,22369910,487561044,22738542,1617287944109,1617288643527,3652,CYCLING
487562158,22737397,487433778,22892685,1617296770334,1617297798715,1827,CYCLING
487433931,22895702,487580274,22706787,1617342900018,1617343532820,2412,CYCLING
487583292,22711745,487563688,22733312,1617372003399,1617372662812,600,WALKING
487566764,22724372,487584562,22713977,1617374898219,1617375198153,212,WALKING
487580586,22720243,487562058,22737253,1617379136094,1617379742496,517,WALKING
487561583,22737674,487434272,22889054,1617386198290,1617386547985,2084,CYCLING
487433582,22895564,487432358,22730491,1617392101394,1617392325901,1210,CYCLING
487433296,22730085,487433522,22895552,1617404306035,1617404822700,1429,CYCLING
487433526,22895509,487562479,22739361,1617463080058,1617463595239,2030,CYCLING
487562942,22736696,487432796,22896597,1617470369560,1617470856535,2074,IN_PASSENGER_VEHICLE
487433550,22895579,487143683,22440669,1617478466779,1617479565798,4783,CYCLING
487157424,22435004,487434471,22893231,1617489277459,1617490141520,4640,CYCLING
487433810,22895700,487448807,22531552,1617547380165,1617548721999,3224,CYCLING
487442644,22543346,487469331,22301748,1617550082105,1617552425421,2260,CYCLING
487460108,22315267,487433592,22895069,1617556809411,1617557790511,4883,CYCLING
487433754,22895647,487433265,22730222,1617648974950,1617650198494,3137,CYCLING
487434217,22730470,487433328,22894850,1617659176171,1617659619493,1489,CYCLING
487433502,22895631,487555559,22740850,1617716788271,1617717241566,2002,CYCLING
487562633,22735720,487434047,22729605,1617721606475,1617721988537,1508,CYCLING
487433832,22728904,487434676,22891951,1617732039516,1617732423575,1249,IN_PASSENGER_VEHICLE
487433647,22895384,487571804,22698772,1617805082558,1617805863672,2964,CYCLING
487577090,22700252,487563473,22735874,1617807516999,1617807666505,384,CYCLING
487558799,22742097,487608112,22985757,1617810607519,1617811345376,2370,CYCLING
487611155,22994796,487433414,22895440,1617817111288,1617817722943,2340,CYCLING
487433479,22895755,487565982,23027425,1617875484419,1617875815326,2193,CYCLING
487566271,23028157,487437464,22896713,1617878139566,1617878503511,1734,CYCLING
487433884,22895711,487561982,22737351,1617909336487,1617909870383,1874,CYCLING
487562699,22737916,487438860,22747685,1617914268105,1617914655848,1656,CYCLING
487434117,22722571,487433736,22895639,1617918675778,1617919054432,1468,CYCLING
487434161,22893467,487471990,22819141,1618074599000,1618075942509,2204,CYCLING
487469467,22820395,487433196,22895959,1618076994003,1618078013499,1248,CYCLING
487433373,22896047,487514196,22740715,1618234965947,1618235763680,2518,CYCLING
487517681,22790589,487527759,22715118,1618239381969,1618242136400,1455,IN_PASSENGER_VEHICLE
487528978,22715344,487506833,22806381,1618243205143,1618244699396,711,IN_PASSENGER_VEHICLE
487506829,22806399,487433513,22895428,1618247555046,1618248216820,1597,IN_PASSENGER_VEHICLE
487433298,22895898,487574438,22935096,1618256045470,1618256602469,2321,CYCLING
487570555,22944585,487433685,22895577,1618266963164,1618268497085,1565,IN_PASSENGER_VEHICLE
487433930,22895684,487398391,22381359,1618315650273,1618316395549,3826,CYCLING
487395186,22381031,487559220,22744547,1618323205162,1618324640389,4550,CYCLING
487563107,22734490,487430961,22881374,1618331425057,1618331787107,1821,CYCLING
487433562,22895395,487404741,22707128,1618339894022,1618340537101,1417,IN_PASSENGER_VEHICLE
487404372,22710624,487433703,22730471,1618341902747,1618342310267,357,IN_PASSENGER_VEHICLE
487433787,22728926,487433755,22895735,1618354163463,1618354563501,1223,IN_PASSENGER_VEHICLE
487433966,22895770,487562015,22738394,1618417920005,1618418729187,1872,IN_PASSENGER_VEHICLE
487562227,22738747,487433903,22895711,1618421366772,1618424150413,1833,IN_PASSENGER_VEHICLE
487433544,22895228,487496475,23413876,1618437919086,1618440029195,3867,IN_PASSENGER_VEHICLE
487496641,23413455,487433504,22895446,1618448165205,1618449957560,6999,IN_PASSENGER_VEHICLE
487433664,22895571,487563185,22735836,1618505098970,1618506617117,3181,CYCLING
487559580,22738838,487830453,22787532,1618507401915,1618507973991,3272,CYCLING
487831792,22782874,487433877,22895751,1618564529167,1618566310598,4502,IN_PASSENGER_VEHICLE
487436136,22894231,487408169,22373746,1618588733966,1618589446215,3829,IN_PASSENGER_VEHICLE
487409243,22370017,487433687,22895567,1618594613152,1618595847606,3863,IN_PASSENGER_VEHICLE
487433742,22895531,487097424,22323671,1618663092086,1618664289000,5773,IN_PASSENGER_VEHICLE
487086746,22314014,487433485,22895486,1618667413248,1618677188367,5755,IN_PASSENGER_VEHICLE
487432911,22896107,487463386,22563546,1618688602920,1618689696000,3822,CYCLING
487447523,22580956,487433819,22895683,1618706781235,1618707739348,2314,IN_PASSENGER_VEHICLE
487432234,22897037,487457854,22299311,1618755249019,1618758913062,4599,CYCLING
487461768,22300686,487433935,22895847,1618767363930,1618769183624,4374,IN_PASSENGER_VEHICLE
487433959,22895692,487477108,22631526,1618836845291,1618837855652,2891,IN_PASSENGER_VEHICLE
487473278,22641166,487563875,22701555,1618838372726,1618838887323,1235,IN_PASSENGER_VEHICLE
487566630,22701940,487467349,22632162,1618839249442,1618839607678,1438,IN_PASSENGER_VEHICLE
487472295,22640663,487433553,22895408,1618844931296,1618848695995,3216,IN_PASSENGER_VEHICLE
487433872,22895738,487566587,22701996,1618855895208,1618856067547,2048,IN_PASSENGER_VEHICLE
487562270,22700192,487431872,22881891,1618856791468,1618857062523,1969,IN_PASSENGER_VEHICLE
487433381,22895903,487562285,22738107,1618860168566,1618860756608,1861,IN_PASSENGER_VEHICLE
487562239,22738428,487434373,22894029,1618863287872,1618863779449,1889,CYCLING
487432834,22893953,487490152,22713387,1618865794464,1618866887655,3004,IN_PASSENGER_VEHICLE
487490058,22713517,487433888,22895661,1618869602530,1618870008692,1474,IN_PASSENGER_VEHICLE
487433718,22895643,487437446,22910788,1618879986790,1618880803519,3837,IN_PASSENGER_VEHICLE
487434027,22895937,487257441,22765545,1618928599597,1618929617055,9189,IN_PASSENGER_VEHICLE
487256127,22772872,487427948,22899281,1618932545838,1618933513078,2609,IN_PASSENGER_VEHICLE
487433931,22895589,487433795,22729737,1618944472807,1618945410941,1266,IN_PASSENGER_VEHICLE
487430250,22726373,487433596,22895597,1618954526916,1618955257832,1241,IN_PASSENGER_VEHICLE
487433436,22895464,487433668,22895813,1619087079505,1619088895397,1200,IN_PASSENGER_VEHICLE
487433625,22895348,487561206,22741960,1619107181195,1619109178085,2103,CYCLING
487561879,22737925,487433756,22895901,1619110914022,1619111613935,1836,CYCLING
487433617,22895775,487497004,23413887,1619117577029,1619118774185,3882,CYCLING
487497695,23413607,487433421,22895512,1619127897283,1619128914853,3865,IN_PASSENGER_VEHICLE
487433590,22895422,487402945,22709541,1619199235384,1619199835128,1417,IN_PASSENGER_VEHICLE
487401441,22713347,487433805,22720168,1619203420969,1619203540964,363,IN_PASSENGER_VEHICLE
487433115,22730248,487433673,22895721,1619215482921,1619216122379,1357,IN_PASSENGER_VEHICLE
487433634,22895796,488323738,22893385,1619327785443,1619329566756,11923,IN_PASSENGER_VEHICLE
488323738,22893385,488286363,22884607,1619329566756,1619330170627,477,WALKING
488276788,22880998,488344416,22838351,1619351639778,1619352372999,1073,WALKING
488342788,22845610,488204600,23390144,1619352564236,1619353538451,4290,IN_TRAM
488208990,23390358,487541626,23006443,1619353911555,1619354544327,7947,IN_TRAIN
487545404,23007734,487433234,22895794,1619354991303,1619355776234,1980,IN_TRAIN
487433840,22895891,487468863,22636463,1619360477926,1619363342945,2569,CYCLING
487468689,22644260,487504967,22646272,1619364217571,1619364936231,579,CYCLING
487506198,22647150,487432923,22895538,1619372065189,1619372508434,2206,CYCLING
487433475,22895558,487432738,22729815,1619373396398,1619373758478,1452,CYCLING
487433378,22730033,487431026,22881074,1619384314227,1619384617082,1197,CYCLING
487433392,22895471,487558845,22740322,1619441903784,1619442502455,1896,CYCLING
487552405,22742591,487432737,22730221,1619446525084,1619451087700,2602,CYCLING
487433518,22728276,487433671,22895954,1619459479979,1619460036970,1229,CYCLING
487432790,22885886,487432751,22730478,1619467281043,1619471111035,2982,IN_PASSENGER_VEHICLE
487432620,22730848,487433483,22895543,1619476484375,1619477566241,1208,IN_PASSENGER_VEHICLE
487436665,22891581,487559295,22744432,1619533954980,1619536180932,1738,IN_PASSENGER_VEHICLE
487561580,22737370,487433807,22895923,1619544804741,1619545515320,1841,IN_PASSENGER_VEHICLE
487433743,22895997,487502533,22107781,1619616733211,1619623380804,7091,IN_PASSENGER_VEHICLE
487563223,22053491,487433738,22895981,1619626066410,1619630014507,7322,IN_PASSENGER_VEHICLE
487427610,22900053,487433139,22963735,1619775504421,1619776319650,499,WALKING
487436616,22964622,488204813,23381445,1619776574487,1619777759999,9123,IN_TRAIN
488204813,23381445,488325348,22883369,1619777759999,1619778933570,3978,IN_TRAM
488296349,22893302,487430072,22959988,1619795946754,1619798886148,10041,IN_TRAIN
487430072,22959988,487433586,22895851,1619798886148,1619799875516,705,WALKING
487433586,22895851,487562944,22736633,1619799875516,1619802620905,1912,CYCLING
487562305,22738539,487517273,22743774,1619805530073,1619806365844,502,CYCLING
487517193,22743941,487433492,22895527,1619807737101,1619808403862,1451,CYCLING
487433638,22895829,487496028,23413565,1619821308609,1619822613579,3858,IN_PASSENGER_VEHICLE
